lbp_code;h_lbp_before;h_lbp_after;delta
144;0.0007441753;0.0007208766;-0.0000232987
145;0.0008662053;0.0008396770;-0.0000265283
146;0.0000359862;0.0000371396;0.0000011534
147;0.0018841984;0.0018486736;-0.0000355248
148;0.0000468281;0.0000468281;0.0000000000
149;0.0000258362;0.0000258362;0.0000000000
150;0.0000477509;0.0000472895;-0.0000004614
151;0.0010671280;0.0010461361;-0.0000209919
152;0.0010888120;0.0010899654;0.0000011534
153;0.0010362168;0.0010179931;-0.0000182238
154;0.0000424452;0.0000475202;0.0000050750
155;0.0013965398;0.0014029988;0.0000064591
156;0.0008994233;0.0008989619;-0.0000004614
157;0.0009003460;0.0008795848;-0.0000207612
158;0.0004742791;0.0004950404;0.0000207612
159;0.0130758939;0.0132419839;0.0001660900
160;0.0010292964;0.0010417532;0.0000124567
161;0.0012507497;0.0012186851;-0.0000320646
162;0.0000745098;0.0000892734;0.0000147636
163;0.0011164937;0.0011771626;0.0000606690
164;0.0000408304;0.0000426759;0.0000018454
165;0.0000537486;0.0000521338;-0.0000016148
166;0.0000440600;0.0000470588;0.0000029988
167;0.0004482122;0.0004634371;0.0000152249
168;0.0000643599;0.0000680507;0.0000036909
169;0.0000380623;0.0000382930;0.0000002307
170;0.0000025375;0.0000050750;0.0000025375
171;0.0000228374;0.0000306805;0.0000078431
172;0.0000408304;0.0000417532;0.0000009227
173;0.0000664360;0.0000675894;0.0000011534
174;0.0000219146;0.0000297578;0.0000078431
175;0.0002272203;0.0002722030;0.0000449827
176;0.0011397924;0.0011227220;-0.0000170704
177;0.0017307958;0.0016991926;-0.0000316032
178;0.0000463668;0.0000479815;0.0000016148
179;0.0014387543;0.0014489043;0.0000101499
180;0.0000449827;0.0000435986;-0.0000013841
181;0.0000209919;0.0000209919;0.0000000000
182;0.0000562860;0.0000553633;-0.0000009227
183;0.0009199539;0.0009164937;-0.0000034602
184;0.0009441753;0.0009930796;0.0000489043
185;0.0013718570;0.0013778547;0.0000059977
186;0.0000212226;0.0000302191;0.0000089965
187;0.0007031142;0.0007626298;0.0000595156
188;0.0004701269;0.0004855825;0.0000154556
189;0.0009799308;0.0009713956;-0.0000085352
190;0.0002279123;0.0002765859;0.0000486736
191;0.0040971165;0.0046701269;0.0005730104
192;0.0080429066;0.0077626298;-0.0002802768
193;0.0116486736;0.0112574394;-0.0003912341
194;0.0011718570;0.0011418685;-0.0000299885
195;0.0256625144;0.0251268743;-0.0005356401
196;0.0008742791;0.0008514418;-0.0000228374
197;0.0005257209;0.0005137255;-0.0000119954
198;0.0017054210;0.0016775087;-0.0000279123
199;0.0227490196;0.0224652826;-0.0002837370
200;0.0011021915;0.0011151096;0.0000129181
201;0.0008855825;0.0008828143;-0.0000027682
202;0.0000449827;0.0000475202;0.0000025375
203;0.0004745098;0.0004904268;0.0000159170
204;0.0010634371;0.0010539792;-0.0000094579
205;0.0009111880;0.0008890427;-0.0000221453
206;0.0014249135;0.0014272203;0.0000023068
207;0.0131764706;0.0133146482;0.0001381776
208;0.0002459054;0.0002389850;-0.0000069204
209;0.0004867359;0.0004680507;-0.0000186851
210;0.0000405998;0.0000403691;-0.0000002307
211;0.0011524798;0.0011264129;-0.0000260669
212;0.0000249135;0.0000246828;-0.0000002307
213;0.0000352941;0.0000339100;-0.0000013841
214;0.0000295271;0.0000290657;-0.0000004614
215;0.0007531719;0.0007393310;-0.0000138408
216;0.0006362168;0.0006219146;-0.0000143022
217;0.0008722030;0.0008516724;-0.0000205306
218;0.0000562860;0.0000551326;-0.0000011534
219;0.0009838524;0.0009778547;-0.0000059977
220;0.0009683968;0.0009469435;-0.0000214533
221;0.0014394464;0.0013916955;-0.0000477509
222;0.0010253749;0.0010059977;-0.0000193772
223;0.0155247982;0.0153757785;-0.0001490196
224;0.0215393310;0.0211536332;-0.0003856978
225;0.0264244521;0.0259132641;-0.0005111880
226;0.0010618224;0.0011333333;0.0000715110
227;0.0208966551;0.0215499423;0.0006532872
228;0.0018648212;0.0018316032;-0.0000332180
229;0.0012274510;0.0012020761;-0.0000253749
230;0.0014242215;0.0014322953;0.0000080738
231;0.0130818916;0.0133153403;0.0002334487
232;0.0009806228;0.0010189158;0.0000382930
233;0.0004846597;0.0005035755;0.0000189158
234;0.0000166090;0.0000221453;0.0000055363
235;0.0002412918;0.0002927336;0.0000514418
236;0.0014468281;0.0014422145;-0.0000046136
237;0.0010341407;0.0010223760;-0.0000117647
238;0.0007174164;0.0007845444;0.0000671280
239;0.0041545559;0.0047547866;0.0006002307
240;0.0215653979;0.0211889273;-0.0003764706
241;0.0230191465;0.0227337947;-0.0002853518
242;0.0004419839;0.0004645905;0.0000226067
243;0.0130475202;0.0132818916;0.0002343714
244;0.0010618224;0.0010385236;-0.0000232987
245;0.0007942330;0.0007750865;-0.0000191465
246;0.0008811995;0.0008765859;-0.0000046136
247;0.0136066897;0.0134694348;-0.0001372549
248;0.0178009227;0.0181778547;0.0003769319
249;0.0128768166;0.0130410611;0.0001642445
250;0.0002281430;0.0002770473;0.0000489043
251;0.0041257209;0.0047307958;0.0006050750
252;0.0132311419;0.0133764706;0.0001453287
253;0.0156615917;0.0155441753;-0.0001174164
254;0.0042249135;0.0048023068;0.0005773933
255;0.0574562860;0.0659497116;0.0084934256
