lbp_code;h_lbp_before;h_lbp_after;delta
0;0.0264553449;0.0244247047;-0.0020306402
1;0.0013688318;0.0012887696;-0.0000800621
2;0.0125328888;0.0122434556;-0.0002894332
3;0.0052740198;0.0050735765;-0.0002004433
4;0.0012743700;0.0011968998;-0.0000774702
5;0.0001226851;0.0001137573;-0.0000089278
6;0.0051354950;0.0049030845;-0.0002324105
7;0.0052247729;0.0049071164;-0.0003176565
8;0.0103640119;0.0100187080;-0.0003453039
9;0.0007706698;0.0007519503;-0.0000187196
10;0.0011925799;0.0012210912;0.0000285113
11;0.0009356900;0.0009158184;-0.0000198715
12;0.0049531953;0.0047179049;-0.0002352905
13;0.0002597699;0.0002542980;-0.0000054719
14;0.0136131514;0.0132882950;-0.0003248563
15;0.0148431704;0.0145119782;-0.0003311922
16;0.0013938872;0.0013118091;-0.0000820781
17;0.0001523484;0.0001454366;-0.0000069118
18;0.0008363323;0.0008164608;-0.0000198715
19;0.0006194734;0.0005964340;-0.0000230395
20;0.0001192292;0.0001137573;-0.0000054719
21;0.0000132477;0.0000120957;-0.0000011520
22;0.0002563140;0.0002488261;-0.0000074878
23;0.0002972090;0.0002750335;-0.0000221755
24;0.0050237537;0.0047861593;-0.0002375944
25;0.0006554726;0.0006309931;-0.0000244794
26;0.0010125842;0.0010019284;-0.0000106557
27;0.0012700501;0.0012406748;-0.0000293753
28;0.0060651372;0.0057633203;-0.0003018169
29;0.0003571116;0.0003369521;-0.0000201595
30;0.0156921744;0.0153215271;-0.0003706473
31;0.0147919076;0.0145848405;-0.0002070671
32;0.0125596722;0.0122846387;-0.0002750335
33;0.0008547639;0.0008348923;-0.0000198715
34;0.0066509154;0.0068404149;0.0001894995
35;0.0017144236;0.0017109677;-0.0000034559
36;0.0008291325;0.0008063810;-0.0000227515
37;0.0000907179;0.0000881259;-0.0000025919
38;0.0017985176;0.0018025495;0.0000040319
39;0.0012156194;0.0012081315;-0.0000074878
40;0.0011156857;0.0011113658;-0.0000043199
41;0.0000849580;0.0000858220;0.0000008640
42;0.0001981393;0.0002099471;0.0000118077
43;0.0000884139;0.0000872619;-0.0000011520
