lbp_code;h_lbp_before;h_lbp_after;delta
151;0.0003642512;0.0003532501;-0.0000110011
152;0.0005349584;0.0005339721;-0.0000009863
153;0.0001883849;0.0001880814;-0.0000003035
154;0.0000191192;0.0000204849;0.0000013657
155;0.0005370069;0.0005279784;-0.0000090285
156;0.0003890607;0.0003857983;-0.0000032624
157;0.0002205537;0.0002132702;-0.0000072835
158;0.0002886848;0.0003017344;0.0000130496
159;0.0108426380;0.0109724513;0.0001298133
160;0.0003249506;0.0003187293;-0.0000062213
161;0.0003961166;0.0003759352;-0.0000201814
162;0.0000534883;0.0000580404;0.0000045522
163;0.0009531531;0.0009842597;0.0000311066
164;0.0000245818;0.0000246577;0.0000000759
165;0.0000132014;0.0000134290;0.0000002276
166;0.0000229127;0.0000243542;0.0000014415
167;0.0003056038;0.0003202467;0.0000146429
168;0.0000729109;0.0000778425;0.0000049315
169;0.0000208642;0.0000207883;-0.0000000759
170;0.0000074352;0.0000091803;0.0000017450
171;0.0000226851;0.0000285271;0.0000058420
172;0.0000216229;0.0000221540;0.0000005311
173;0.0000201055;0.0000192709;-0.0000008346
174;0.0000273132;0.0000314860;0.0000041728
175;0.0005920884;0.0006442869;0.0000521985
176;0.0002586404;0.0002456666;-0.0000129737
177;0.0004675101;0.0004353413;-0.0000321688
178;0.0000215470;0.0000229886;0.0000014415
179;0.0006688687;0.0006622680;-0.0000066007
180;0.0000110011;0.0000112287;0.0000002276
181;0.0000062213;0.0000059937;-0.0000002276
182;0.0000179812;0.0000173742;-0.0000006070
183;0.0003397452;0.0003307926;-0.0000089526
184;0.0006421625;0.0006746348;0.0000324723
185;0.0005178877;0.0005156875;-0.0000022002
186;0.0000277684;0.0000308790;0.0000031107
187;0.0004782077;0.0005082522;0.0000300445
188;0.0002917196;0.0003100801;0.0000183605
189;0.0003954337;0.0003861776;-0.0000092561
190;0.0003901987;0.0004445974;0.0000543987
191;0.0074108165;0.0082783884;0.0008675719
192;0.0029087747;0.0026653842;-0.0002433905
193;0.0050705347;0.0047248716;-0.0003456631
194;0.0004441422;0.0004254023;-0.0000187399
195;0.0265970910;0.0256638917;-0.0009331993
196;0.0002336792;0.0002169878;-0.0000166914
197;0.0001197985;0.0001132737;-0.0000065248
198;0.0005134872;0.0004793458;-0.0000341414
199;0.0149948439;0.0145530537;-0.0004417902
200;0.0005272955;0.0005262334;-0.0000010622
201;0.0003622027;0.0003593197;-0.0000028831
202;0.0000208642;0.0000215470;0.0000006828
203;0.0002921748;0.0003080316;0.0000158568
204;0.0001987032;0.0001958960;-0.0000028072
205;0.0002095526;0.0002011310;-0.0000084216
206;0.0005383725;0.0005371586;-0.0000012139
207;0.0102904571;0.0103942471;0.0001037900
208;0.0000715453;0.0000669172;-0.0000046281
209;0.0001263233;0.0001191916;-0.0000071318
210;0.0000131255;0.0000130496;-0.0000000759
211;0.0005140942;0.0005007411;-0.0000133531
212;0.0000072835;0.0000071318;-0.0000001517
213;0.0000089526;0.0000086492;-0.0000003035
214;0.0000069800;0.0000068283;-0.0000001517
215;0.0002009034;0.0001955925;-0.0000053109
216;0.0002290511;0.0002190363;-0.0000100148
217;0.0002176706;0.0002079593;-0.0000097113
218;0.0000203331;0.0000206366;0.0000003035
219;0.0004340515;0.0004213812;-0.0000126703
220;0.0002206296;0.0002100837;-0.0000105459
221;0.0003989237;0.0003780595;-0.0000208642
222;0.0003972546;0.0003880744;-0.0000091803
223;0.0094882092;0.0092980035;-0.0001902057
224;0.0137096084;0.0130465817;-0.0006630267
225;0.0267526242;0.0257833108;-0.0009693134
226;0.0009337304;0.0009707549;0.0000370245
227;0.0571874404;0.0565037012;-0.0006837392
228;0.0009897224;0.0009499666;-0.0000397558
229;0.0004932300;0.0004809391;-0.0000122909
230;0.0006688687;0.0006618887;-0.0000069800
231;0.0112611362;0.0114319951;0.0001708589
232;0.0006765316;0.0007112800;0.0000347484
233;0.0002929335;0.0003075764;0.0000146429
234;0.0000244301;0.0000295134;0.0000050833
235;0.0003874674;0.0004428524;0.0000553850
236;0.0005543052;0.0005488426;-0.0000054626
237;0.0004232021;0.0004136425;-0.0000095596
238;0.0004769180;0.0005030931;0.0000261751
